ticker,company_name,sector,shares
UNH,UnitedHealth Group Inc.,Healthcare,100
JNJ,Johnson & Johnson,Healthcare,250
ABBV,AbbVie Inc.,Healthcare,200
LLY,Eli Lilly and Company,Healthcare,80
PFE,Pfizer Inc.,Healthcare,450
MRK,Merck & Co.,Healthcare,280
TMO,Thermo Fisher Scientific,Healthcare,120
DHR,Danaher Corporation,Healthcare,150
ABT,Abbott Laboratories,Healthcare,300
AMGN,Amgen Inc.,Healthcare,150
GILD,Gilead Sciences Inc.,Healthcare,280
REGN,Regeneron Pharmaceuticals,Healthcare,60
VRTX,Vertex Pharmaceuticals,Healthcare,80
ISRG,Intuitive Surgical Inc.,Healthcare,70
BSX,Boston Scientific Corp.,Healthcare,350
